"method_1","method_2","MAE_initial","RMSE_initial","correlation_initial","MAE_final","RMSE_final","correlation_final","MAE_ratio_final_to_initial","RMSE_ratio_final_to_initial","MAE_attenuation_percentage","RMSE_attenuation_percentage"
"Gardner-Knopoff","Nearest-neighbour",0.203051921492404,0.29483807752568,0.302010185311014,0.000778719405488469,0.000950583105391914,0.999991339572055,0.00383507528402089,0.0032240852788396,99.6164924715979,99.677591472116
"Gardner-Knopoff","Reasenberg-style",0.129408554377296,0.155881071266425,0.503749286518188,0.0010632053808805,0.0013962094589557,0.999992699806448,0.00821588175524072,0.00895688904119324,99.1784118244759,99.1043110958807
"Nearest-neighbour","Reasenberg-style",0.0761619124245164,0.15818254847098,0.930644264221411,0.00089446346155567,0.00117712400218672,0.999993026748669,0.0117442358402196,0.00744155416362302,98.825576415978,99.2558445836377
