"method","convergence","logLik","negloglik","penalty","penalized_objective","K","alpha","c","p","runtime_minutes"
"Gardner-Knopoff",0,27767.4318383203,-27767.4318383203,1.85630356455044,-27765.5755347557,0.0201542489244913,1.58843739735081,0.00961605943668061,1.12227311088775,217.195319700241
"Nearest-neighbour",0,27767.4656849024,-27767.4656849024,1.8817554830243,-27765.5839294194,0.0201571517699798,1.58851772538566,0.00961014146390765,1.12204774317345,251.602753520012
"Reasenberg-style",0,27767.5530540699,-27767.5530540699,1.9706890341348,-27765.5823650358,0.0201751324278602,1.58796494805852,0.00959109106529169,1.12187521318262,225.502682316303
