"specification","mu_df","penalty_lambda","max_trigger_days","convergence","logLik","penalized_objective","K","alpha","c","p","runtime_minutes","K_pct_change","alpha_pct_change","c_pct_change","p_pct_change","logLik_difference"
"Baseline",8,1,3650,0,27767.4656849024,-27765.5839294194,0.0201571517699798,1.58851772538566,0.00961014146390765,1.12204774317345,251.602753520012,0,0,0,0,0
"df_6",6,1,3650,0,27752.2677658174,-27746.460844314,0.0202017418538669,1.58741874854129,0.00993525538607692,1.12676182058201,226.804272536437,0.221212224801987,-0.0691825358199234,3.38302951512501,0.420131624277462,-15.197919084967
"df_10",10,1,3650,0,27770.4501308303,-27767.8913183138,0.0202389805392657,1.58657429793433,0.00949508464550395,1.12041000119911,297.402291850249,0.405954026737978,-0.122342194882708,-1.19724375375548,-0.145960097001824,2.98444592795568
"cutoff_7300",8,1,7300,0,27767.0292700103,-27765.1880776278,0.0201554018465726,1.58830649092708,0.0096728855463032,1.1231393118192,350.686145667235,-0.00868140215017194,-0.0132975827218702,0.652894472273815,0.0972836184903896,-0.436414892072207
