"month","total_events","background_events","background_rate","method"
2009-06-01,52,17,17,"Gardner-Knopoff window-based"
2009-07-01,30,18,18,"Gardner-Knopoff window-based"
2009-08-01,51,14,14,"Gardner-Knopoff window-based"
2009-09-01,41,12,12,"Gardner-Knopoff window-based"
2009-10-01,318,21,21,"Gardner-Knopoff window-based"
2009-11-01,68,17,17,"Gardner-Knopoff window-based"
2009-12-01,48,17,17,"Gardner-Knopoff window-based"
2010-01-01,86,7,7,"Gardner-Knopoff window-based"
2010-02-01,62,15,15,"Gardner-Knopoff window-based"
2010-03-01,57,17,17,"Gardner-Knopoff window-based"
2010-04-01,44,18,18,"Gardner-Knopoff window-based"
2010-05-01,43,19,19,"Gardner-Knopoff window-based"
2010-06-01,36,21,21,"Gardner-Knopoff window-based"
2010-07-01,33,19,19,"Gardner-Knopoff window-based"
2010-08-01,14,11,11,"Gardner-Knopoff window-based"
2010-09-01,47,17,17,"Gardner-Knopoff window-based"
2010-10-01,44,18,18,"Gardner-Knopoff window-based"
2010-11-01,32,16,16,"Gardner-Knopoff window-based"
2010-12-01,19,12,12,"Gardner-Knopoff window-based"
2011-01-01,22,17,17,"Gardner-Knopoff window-based"
2011-02-01,40,21,21,"Gardner-Knopoff window-based"
2011-03-01,29,21,21,"Gardner-Knopoff window-based"
2011-04-01,29,19,19,"Gardner-Knopoff window-based"
2011-05-01,36,12,12,"Gardner-Knopoff window-based"
2011-06-01,10,7,7,"Gardner-Knopoff window-based"
2011-07-01,35,17,17,"Gardner-Knopoff window-based"
2011-08-01,27,18,18,"Gardner-Knopoff window-based"
2011-09-01,29,20,20,"Gardner-Knopoff window-based"
2011-10-01,31,11,11,"Gardner-Knopoff window-based"
2011-11-01,23,16,16,"Gardner-Knopoff window-based"
2011-12-01,33,25,25,"Gardner-Knopoff window-based"
2012-01-01,36,18,18,"Gardner-Knopoff window-based"
2012-02-01,29,13,13,"Gardner-Knopoff window-based"
2012-03-01,19,15,15,"Gardner-Knopoff window-based"
2012-04-01,16,14,14,"Gardner-Knopoff window-based"
2012-05-01,37,14,14,"Gardner-Knopoff window-based"
2012-06-01,24,11,11,"Gardner-Knopoff window-based"
2012-07-01,16,13,13,"Gardner-Knopoff window-based"
2012-08-01,59,18,18,"Gardner-Knopoff window-based"
2012-09-01,49,17,17,"Gardner-Knopoff window-based"
2012-10-01,54,29,29,"Gardner-Knopoff window-based"
2012-11-01,47,23,23,"Gardner-Knopoff window-based"
2012-12-01,55,15,15,"Gardner-Knopoff window-based"
2013-01-01,39,21,21,"Gardner-Knopoff window-based"
2013-02-01,22,14,14,"Gardner-Knopoff window-based"
2013-03-01,39,25,25,"Gardner-Knopoff window-based"
2013-04-01,46,14,14,"Gardner-Knopoff window-based"
2013-05-01,26,12,12,"Gardner-Knopoff window-based"
2013-06-01,35,21,21,"Gardner-Knopoff window-based"
2013-07-01,21,11,11,"Gardner-Knopoff window-based"
2013-08-01,51,12,12,"Gardner-Knopoff window-based"
2013-09-01,44,18,18,"Gardner-Knopoff window-based"
2013-10-01,57,13,13,"Gardner-Knopoff window-based"
2013-11-01,36,18,18,"Gardner-Knopoff window-based"
2013-12-01,63,14,14,"Gardner-Knopoff window-based"
2014-01-01,25,13,13,"Gardner-Knopoff window-based"
2014-02-01,32,14,14,"Gardner-Knopoff window-based"
2014-03-01,85,17,17,"Gardner-Knopoff window-based"
2014-04-01,32,12,12,"Gardner-Knopoff window-based"
2014-05-01,23,14,14,"Gardner-Knopoff window-based"
2014-06-01,38,11,11,"Gardner-Knopoff window-based"
2014-07-01,60,13,13,"Gardner-Knopoff window-based"
2014-08-01,21,17,17,"Gardner-Knopoff window-based"
2014-09-01,42,19,19,"Gardner-Knopoff window-based"
2014-10-01,27,16,16,"Gardner-Knopoff window-based"
2014-11-01,26,17,17,"Gardner-Knopoff window-based"
2014-12-01,25,17,17,"Gardner-Knopoff window-based"
2015-01-01,39,20,20,"Gardner-Knopoff window-based"
2015-02-01,29,18,18,"Gardner-Knopoff window-based"
2015-03-01,41,19,19,"Gardner-Knopoff window-based"
2015-04-01,41,20,20,"Gardner-Knopoff window-based"
2015-05-01,28,13,13,"Gardner-Knopoff window-based"
2015-06-01,50,20,20,"Gardner-Knopoff window-based"
2015-07-01,17,9,9,"Gardner-Knopoff window-based"
2015-08-01,13,10,10,"Gardner-Knopoff window-based"
2015-09-01,22,18,18,"Gardner-Knopoff window-based"
2015-10-01,22,18,18,"Gardner-Knopoff window-based"
2015-11-01,22,14,14,"Gardner-Knopoff window-based"
2015-12-01,33,16,16,"Gardner-Knopoff window-based"
2016-01-01,76,17,17,"Gardner-Knopoff window-based"
2016-02-01,54,17,17,"Gardner-Knopoff window-based"
2016-03-01,56,19,19,"Gardner-Knopoff window-based"
2016-04-01,26,17,17,"Gardner-Knopoff window-based"
2016-05-01,20,18,18,"Gardner-Knopoff window-based"
2016-06-01,51,27,27,"Gardner-Knopoff window-based"
2016-07-01,32,17,17,"Gardner-Knopoff window-based"
2016-08-01,28,18,18,"Gardner-Knopoff window-based"
2016-09-01,19,6,6,"Gardner-Knopoff window-based"
2016-10-01,20,9,9,"Gardner-Knopoff window-based"
2016-11-01,32,16,16,"Gardner-Knopoff window-based"
2016-12-01,23,14,14,"Gardner-Knopoff window-based"
2017-01-01,15,11,11,"Gardner-Knopoff window-based"
2017-02-01,15,13,13,"Gardner-Knopoff window-based"
2017-03-01,23,17,17,"Gardner-Knopoff window-based"
2017-04-01,15,12,12,"Gardner-Knopoff window-based"
2017-05-01,23,10,10,"Gardner-Knopoff window-based"
2017-06-01,26,12,12,"Gardner-Knopoff window-based"
2017-07-01,30,19,19,"Gardner-Knopoff window-based"
2017-08-01,26,16,16,"Gardner-Knopoff window-based"
2017-09-01,27,17,17,"Gardner-Knopoff window-based"
2017-10-01,25,13,13,"Gardner-Knopoff window-based"
2017-11-01,22,15,15,"Gardner-Knopoff window-based"
2017-12-01,26,8,8,"Gardner-Knopoff window-based"
2018-01-01,15,9,9,"Gardner-Knopoff window-based"
2018-02-01,18,12,12,"Gardner-Knopoff window-based"
2018-03-01,28,20,20,"Gardner-Knopoff window-based"
2018-04-01,22,7,7,"Gardner-Knopoff window-based"
2018-05-01,21,9,9,"Gardner-Knopoff window-based"
2018-06-01,24,8,8,"Gardner-Knopoff window-based"
2018-07-01,30,12,12,"Gardner-Knopoff window-based"
2018-08-01,19,12,12,"Gardner-Knopoff window-based"
2018-09-01,12,5,5,"Gardner-Knopoff window-based"
2018-10-01,28,10,10,"Gardner-Knopoff window-based"
2018-11-01,31,8,8,"Gardner-Knopoff window-based"
2018-12-01,27,10,10,"Gardner-Knopoff window-based"
2019-01-01,20,7,7,"Gardner-Knopoff window-based"
2019-02-01,65,10,10,"Gardner-Knopoff window-based"
2019-03-01,39,6,6,"Gardner-Knopoff window-based"
2019-04-01,36,9,9,"Gardner-Knopoff window-based"
2019-05-01,62,8,8,"Gardner-Knopoff window-based"
2019-06-01,34,15,15,"Gardner-Knopoff window-based"
2019-07-01,9152,19,19,"Gardner-Knopoff window-based"
2019-08-01,956,8,8,"Gardner-Knopoff window-based"
2019-09-01,407,6,6,"Gardner-Knopoff window-based"
2019-10-01,291,16,16,"Gardner-Knopoff window-based"
2019-11-01,259,13,13,"Gardner-Knopoff window-based"
2019-12-01,232,6,6,"Gardner-Knopoff window-based"
2020-01-01,167,9,9,"Gardner-Knopoff window-based"
2020-02-01,137,5,5,"Gardner-Knopoff window-based"
2020-03-01,150,4,4,"Gardner-Knopoff window-based"
2020-04-01,134,3,3,"Gardner-Knopoff window-based"
2020-05-01,120,12,12,"Gardner-Knopoff window-based"
2020-06-01,556,6,6,"Gardner-Knopoff window-based"
2020-07-01,165,8,8,"Gardner-Knopoff window-based"
2020-08-01,104,6,6,"Gardner-Knopoff window-based"
2020-09-01,77,11,11,"Gardner-Knopoff window-based"
2020-10-01,120,8,8,"Gardner-Knopoff window-based"
2020-11-01,76,5,5,"Gardner-Knopoff window-based"
2020-12-01,91,10,10,"Gardner-Knopoff window-based"
2021-01-01,82,9,9,"Gardner-Knopoff window-based"
2021-02-01,91,1,1,"Gardner-Knopoff window-based"
2021-03-01,68,12,12,"Gardner-Knopoff window-based"
2021-04-01,68,6,6,"Gardner-Knopoff window-based"
2021-05-01,79,10,10,"Gardner-Knopoff window-based"
2021-06-01,67,5,5,"Gardner-Knopoff window-based"
2021-07-01,55,13,13,"Gardner-Knopoff window-based"
2021-08-01,57,8,8,"Gardner-Knopoff window-based"
2021-09-01,47,8,8,"Gardner-Knopoff window-based"
2021-10-01,65,9,9,"Gardner-Knopoff window-based"
2021-11-01,48,13,13,"Gardner-Knopoff window-based"
2021-12-01,49,13,13,"Gardner-Knopoff window-based"
2022-01-01,53,18,18,"Gardner-Knopoff window-based"
2022-02-01,41,14,14,"Gardner-Knopoff window-based"
2022-03-01,51,25,25,"Gardner-Knopoff window-based"
2022-04-01,61,29,29,"Gardner-Knopoff window-based"
2022-05-01,56,25,25,"Gardner-Knopoff window-based"
2022-06-01,55,19,19,"Gardner-Knopoff window-based"
2022-07-01,58,17,17,"Gardner-Knopoff window-based"
2022-08-01,45,14,14,"Gardner-Knopoff window-based"
2022-09-01,48,15,15,"Gardner-Knopoff window-based"
2022-10-01,43,16,16,"Gardner-Knopoff window-based"
2022-11-01,46,20,20,"Gardner-Knopoff window-based"
2022-12-01,34,16,16,"Gardner-Knopoff window-based"
2023-01-01,40,22,22,"Gardner-Knopoff window-based"
2023-02-01,41,19,19,"Gardner-Knopoff window-based"
2023-03-01,36,19,19,"Gardner-Knopoff window-based"
2023-04-01,37,17,17,"Gardner-Knopoff window-based"
2023-05-01,53,18,18,"Gardner-Knopoff window-based"
2023-06-01,35,14,14,"Gardner-Knopoff window-based"
2023-07-01,34,19,19,"Gardner-Knopoff window-based"
2023-08-01,29,20,20,"Gardner-Knopoff window-based"
2023-09-01,21,15,15,"Gardner-Knopoff window-based"
2023-10-01,41,18,18,"Gardner-Knopoff window-based"
2023-11-01,20,13,13,"Gardner-Knopoff window-based"
2023-12-01,41,16,16,"Gardner-Knopoff window-based"
2024-01-01,28,18,18,"Gardner-Knopoff window-based"
2024-02-01,29,19,19,"Gardner-Knopoff window-based"
2024-03-01,26,16,16,"Gardner-Knopoff window-based"
2024-04-01,68,16,16,"Gardner-Knopoff window-based"
2024-05-01,35,15,15,"Gardner-Knopoff window-based"
2024-06-01,23,11,11,"Gardner-Knopoff window-based"
