"method_1","method_2","initial_MAE","initial_RMSE","initial_correlation","final_MAE","final_RMSE","final_correlation","MAE_ratio_final_to_initial","RMSE_ratio_final_to_initial"
"Gardner-Knopoff","Nearest-neighbour",0.209137779573869,0.323622541727725,0.490221490546307,0.000778719405488471,0.000950583105391924,0.999991339572055,0.00372347553404821,0.00293732043607668
"Gardner-Knopoff","Reasenberg-style",0.133038205135886,0.17996054597355,0.68666264150152,0.00106320538088048,0.00139620945895569,0.999992699806448,0.0079917297425542,0.00775841977697099
"Nearest-neighbour","Reasenberg-style",0.0912361758344338,0.185345575558411,0.841030426888277,0.000894463461555662,0.00117712400218671,0.999993026748669,0.00980382456163927,0.00635096898666321
