"month","n_events","max_mag","mean_mag"
2011-09-01,29,3.79,2.24103448275862
2011-10-01,31,3.78,2.30677419354839
2011-11-01,23,4.1,2.14130434782609
2011-12-01,33,2.55,1.9430303030303
2012-01-01,36,3.25,2.11666666666667
2012-02-01,29,2.98,2.14655172413793
2012-03-01,19,2.85,2.08473684210526
2012-04-01,16,2.22,1.9375
2012-05-01,37,3.61,2.10135135135135
2012-06-01,24,3.07,2.06125
2012-07-01,16,2.81,2.135
2012-08-01,59,3.54,2.24728813559322
2012-09-01,49,2.88,2.14448979591837
2012-10-01,54,3.47,2.0887037037037
2012-11-01,47,3.69,2.1068085106383
2012-12-01,55,3.64,2.15236363636364
2013-01-01,39,3.59,1.95025641025641
2013-02-01,22,3.01,2.17090909090909
2013-03-01,39,4.14,2.0525641025641
2013-04-01,46,3.22,2.11978260869565
2013-05-01,26,3.3,2.12384615384615
2013-06-01,35,3.17,2.10942857142857
2013-07-01,21,4.29,2.2652380952381
2013-08-01,51,4.19,2.2956862745098
2013-09-01,44,3.16,2.03090909090909
2013-10-01,57,4.28,2.1559649122807
2013-11-01,36,3.19,2.08944444444444
2013-12-01,63,4.3,2.20730158730159
2014-01-01,25,3.39,2.1692
2014-02-01,32,3.68,2.0728125
2014-03-01,85,4.39,2.27082352941176
2014-04-01,32,4.24,2.25375
2014-05-01,23,3.51,2.20086956521739
2014-06-01,38,3.78,2.24894736842105
2014-07-01,60,3.63,2.14816666666667
2014-08-01,21,3.17,2.27761904761905
2014-09-01,42,3.64,2.12285714285714
2014-10-01,27,3.68,2.28888888888889
2014-11-01,26,2.93,2.06192307692308
2014-12-01,25,3.47,2.2912
2015-01-01,39,4.25,2.19794871794872
2015-02-01,29,2.69,2.01206896551724
2015-03-01,41,4.04,2.13878048780488
2015-04-01,41,2.62,2.0790243902439
2015-05-01,28,2.67,2.16821428571429
2015-06-01,50,3.63,2.229
2015-07-01,17,2.94,2.08470588235294
2015-08-01,13,2.65,2.03769230769231
2015-09-01,22,2.8,1.98772727272727
2015-10-01,22,2.74,1.99954545454545
2015-11-01,22,2.89,2.27318181818182
2015-12-01,33,4.25,2.17515151515152
2016-01-01,76,4.11,2.30368421052632
2016-02-01,54,4.31,2.28833333333333
2016-03-01,56,3.11,2.14982142857143
2016-04-01,26,3.21,2.17384615384615
2016-05-01,20,3.49,2.117
2016-06-01,51,3.31,2.09470588235294
2016-07-01,32,3,2.135625
2016-08-01,28,3.53,2.2
