"method_1","method_2","raw_agreement","jaccard_background","kappa","n_disagree","disagreement_percentage","period_group"
"Gardner-Knopoff","Nearest-neighbour",0.972032046613256,0.235059760956175,0.37145331392809,192,2.79679533867444,"2019"
"Gardner-Knopoff","Reasenberg-style",0.987909686817189,0.41958041958042,0.585891253711058,83,1.20903131828114,"2019"
"Nearest-neighbour","Reasenberg-style",0.981791697013838,0.51171875,0.66836966372249,125,1.82083029861617,"2019"
"Gardner-Knopoff","Nearest-neighbour",0.7537760728842,0.539255271422162,0.514622621038776,2054,24.62239271158,"non-2019"
"Gardner-Knopoff","Reasenberg-style",0.831095660513066,0.631730266596968,0.646788873655904,1409,16.8904339486934,"non-2019"
"Nearest-neighbour","Reasenberg-style",0.860345240949413,0.746684061752555,0.7218403906175,1165,13.9654759050587,"non-2019"
