"specification","mu_df","penalty_lambda","max_trigger_days","convergence","logLik","penalized_objective","K","alpha","c","p","runtime_minutes"
"Baseline",8,1,3650,0,27767.4656849024,-27765.5839294194,0.0201571517699798,1.58851772538566,0.00961014146390765,1.12204774317345,251.602753520012
"df_6",6,1,3650,0,27752.2677658174,-27746.460844314,0.0202017418538669,1.58741874854129,0.00993525538607692,1.12676182058201,226.804272536437
"df_10",10,1,3650,0,27770.4501308303,-27767.8913183138,0.0202389805392657,1.58657429793433,0.00949508464550395,1.12041000119911,297.402291850249
"cutoff_7300",8,1,7300,0,27767.0292700103,-27765.1880776278,0.0201554018465726,1.58830649092708,0.0096728855463032,1.1231393118192,350.686145667235
