"month","n_events","max_mag","mean_mag"
2011-06-01,177,3.27,0.888079096045198
2011-07-01,243,3.36,1.03300411522634
2011-08-01,187,3.22,1.00631016042781
2011-09-01,247,3.79,1.03376518218623
2011-10-01,226,3.78,1.03429203539823
2011-11-01,169,4.1,1.05029585798817
2011-12-01,219,2.55,1.01360730593607
2012-01-01,328,3.25,0.925670731707317
2012-02-01,300,2.98,1.002
2012-03-01,277,2.85,0.913682310469314
2012-04-01,222,2.22,0.932342342342342
2012-05-01,283,3.61,0.988975265017668
2012-06-01,206,3.07,0.993203883495146
2012-07-01,215,2.81,0.970744186046512
2012-08-01,390,3.54,1.02789743589744
2012-09-01,310,2.88,1.05893548387097
2012-10-01,511,3.47,0.924794520547945
2012-11-01,464,3.69,0.954439655172414
2012-12-01,869,3.64,0.728296892980437
2013-01-01,173,3.59,1.23745664739884
2013-02-01,296,3.01,0.85722972972973
2013-03-01,435,4.14,0.816574712643678
2013-04-01,382,3.22,0.924005235602094
2013-05-01,318,3.3,0.872924528301887
2013-06-01,353,3.17,0.887620396600567
2013-07-01,276,4.29,0.93268115942029
2013-08-01,458,4.19,0.925633187772926
2013-09-01,398,3.16,0.955904522613065
2013-10-01,425,4.28,0.955858823529412
2013-11-01,283,3.19,0.958127208480565
2013-12-01,325,4.3,1.19489230769231
2014-01-01,344,3.39,0.921337209302326
2014-02-01,262,3.68,0.973625954198473
2014-03-01,542,4.39,1.09785977859779
2014-04-01,330,4.24,0.985575757575758
2014-05-01,296,3.51,0.818547297297297
2014-06-01,228,3.78,1.1675
2014-07-01,416,3.63,1.19673076923077
2014-08-01,155,3.17,1.22212903225806
2014-09-01,198,3.64,1.20010101010101
2014-10-01,233,3.68,1.13107296137339
2014-11-01,205,2.93,1.06468292682927
2014-12-01,246,3.47,1.02105691056911
2015-01-01,337,4.25,1.05943620178042
2015-02-01,392,2.69,0.893520408163265
2015-03-01,430,4.04,0.957511627906977
2015-04-01,303,2.62,1.02042904290429
2015-05-01,314,2.67,0.812866242038217
2015-06-01,314,3.63,1.05089171974522
2015-07-01,224,2.94,0.820758928571429
2015-08-01,202,2.65,0.870247524752475
